date,close,high,low,pivot,resistance
2024-06-06 00:00:00,20540.981851,20600.76603,20485.237145,20421.41349533333,20703.36860566666
2024-06-07 00:00:00,20499.240646,20633.620398,20402.024032,20542.328342,20599.419538999995
2024-06-10 00:00:00,20582.723057,20606.42129,20438.917872,20511.628358666665,20621.23268533333
2024-06-11 00:00:00,20733.260695,20744.032619,20460.731018,20542.68740633333,20646.456940666667
2024-06-12 00:00:00,21124.012237,21126.166622,20718.180001,20646.008110666666,20831.285203333333
2024-06-13 00:00:00,21121.319256,21210.995523,21005.251775,20989.452953333337,21260.725905666677
2024-06-14 00:00:00,21216.650784,21220.151659,21006.867564,21112.52218466667,21219.792594333336
2024-06-17 00:00:00,21461.659489,21551.229252,21160.790136,21147.89000233333,21288.91244066666
2024-06-18 00:00:00,21486.111769,21550.431895,21397.870933,21391.226292333333,21621.662448666662
2024-06-19 00:00:00,21508.437763,21531.295329,21479.732913,21478.138199,21558.405465
2024-06-20 00:00:00,21319.729953,21657.277726,21218.465621,21506.48866833333,21533.24442366667
2024-06-21 00:00:00,21273.217465,21354.282087,21171.687347,21398.4911,21578.516579
2024-06-24 00:00:00,20999.724033,21295.011888,20973.67704,21266.395633,21361.103919
2024-06-25 00:00:00,21231.489118,21242.917901,20971.550754,21089.470987,21205.264934000003
2024-06-26 00:00:00,21213.68148,21337.803377,21157.600708,21148.652591,21325.754428000004
2024-06-27 00:00:00,21334.613949,21386.973722,21129.161644,21236.361855,21315.123002
2024-06-28 00:00:00,21227.236548,21553.355537,21163.182206,21283.583105,21438.004566000003
2024-07-01 00:00:00,21308.035384,21341.524376,21062.715232,21314.59143033333,21466.000654666663
2024-07-02 00:00:00,21518.006046,21538.471541,21167.168991,21237.42499733333,21412.134762666672
2024-07-03 00:00:00,21708.840141,21725.584637,21480.796056,21407.882192666668,21648.595394333337
2024-07-04 00:00:00,21668.174937,21709.903284,21655.948797,21638.406944666665,21796.01783333333
2024-07-05 00:00:00,21891.700667,21942.731511,21646.6463,21678.009006000004,21700.069215000007
2024-07-08 00:00:00,21990.572928,21994.293927,21878.67717,21827.02615933333,22007.40601866666
2024-07-09 00:00:00,21994.028141,22083.332119,21917.481875,21954.514675,22030.352180000005
2024-07-10 00:00:00,22215.959157,22237.487795,21990.572928,21998.280711666663,22079.07954833333
2024-07-11 00:00:00,21722.926781,22308.718348,21663.922367,22148.00662666667,22305.440325333337
2024-07-12 00:00:00,21836.683038,22050.640484,21619.004592,21898.52249866667,22133.12263033334
2024-07-15 00:00:00,21927.58173,22110.17647,21801.067761,21835.442704666668,22051.88081733333
2024-07-16 00:00:00,21888.511239,21990.572928,21756.681558,21946.27532033333,22091.482879666662
2024-07-17 00:00:00,21280.659463,21898.345308,21226.439191,21878.588575,22000.495592000003
2024-07-18 00:00:00,21193.48177,21435.612495,21006.368674,21468.48132066667,21710.523450333338
2024-07-19 00:00:00,20945.503761,21241.323187,20895.004488,21211.820979666667,21417.273285333333
2024-07-22 00:00:00,21242.386329,21310.427455,20963.842971,21027.277145333333,21159.54980266667
2024-07-23 00:00:00,21205.70791,21352.953159,21122.782788,21172.218918333336,21380.594865666677
2024-07-24 00:00:00,20486.226161,21138.464141,20379.114545,21227.147952333336,21331.513116666672
2024-07-25 00:00:00,20194.127735,20614.866415,20075.587336,20667.934949,20956.755353
2024-07-26 00:00:00,20386.556544,20516.25994,20194.39352,20294.86049533333,20514.13365466666
2024-07-29 00:00:00,20436.25846,20600.779776,20320.110132,20365.736668,20537.079816
2024-07-30 00:00:00,20052.198199,20539.649077,19907.345021,20452.382789333333,20584.655446666664
2024-07-31 00:00:00,20818.192436,20888.625632,20052.72977,20166.39743233333,20425.44984366666
2024-08-01 00:00:00,20165.422885,20961.982471,20044.490415,20586.515946,21120.302122
2024-08-02 00:00:00,19682.224577,20178.180596,19546.673896,20390.631923666668,20736.77343233333
2024-08-05 00:00:00,19292.582817,19551.192253,18446.5871,19802.359689666668,20058.04548333333
2024-08-06 00:00:00,19241.817758,19650.330299,19100.419794,19096.78739,19746.98768
2024-08-07 00:00:00,18981.879395,19730.331779,18962.477043,19330.85595033333,19561.292106666668
2024-08-08 00:00:00,19729.800208,19767.54177,18862.010068,19224.896072333333,19487.315101666667
2024-08-09 00:00:00,19777.110053,19853.65632,19543.750254,19453.117348666667,20044.224629333334
2024-08-12 00:00:00,19802.35969,19950.13651,19684.085076,19724.838875666665,19905.92749733333
2024-08-13 00:00:00,20305.226135,20329.944201,19804.751761,19812.193758666665,19940.30244133333
2024-08-14 00:00:00,20355.991194,20416.05875,20120.50511,20146.640699,20488.529637
2024-08-15 00:00:00,20803.840011,20841.050001,20306.555064,20297.51835133333,20474.531592666663
2024-08-16 00:00:00,20841.847358,20925.835623,20675.465543,20650.481692,20994.408319999995
2024-08-19 00:00:00,21107.101435,21126.503787,20758.124879,20814.38284133333,20953.300139666662
2024-08-20 00:00:00,21055.273233,21189.494986,20989.624178,20997.243367000003,21236.361855000006
2024-08-21 00:00:00,21175.408346,21243.449472,21019.923742,21078.130799,21166.637420000006
2024-08-22 00:00:00,20850.618285,21289.696175,20775.932518,21146.26052,21272.597298
2024-08-23 00:00:00,21025.505241,21161.055921,20828.823862,20972.082326000003,21168.232134000005
2024-08-26 00:00:00,20783.374516,21099.393651,20737.127813,21005.128341333333,21181.432820666665
2024-08-27 00:00:00,20875.867921,20937.795977,20669.086687,20873.29866,21009.469507
2024-08-28 00:00:00,20529.549222,20934.340764,20441.308387,20827.583528333333,20986.080369666663
2024-08-29 00:00:00,20673.339258,20936.99862,20348.814982,20635.06612433333,20828.823861666668
2024-08-30 00:00:00,20831.747504,20872.412708,20593.603563,20653.05095333333,20957.286924666663
2024-09-02 00:00:00,20887.56249,20912.280555,20742.975097,20765.92125833333,20938.238953666663
2024-09-03 00:00:00,20188.812022,20925.835623,20105.089543,20847.60604733333,20952.23699766667
2024-09-04 00:00:00,20161.967671,20321.704845,20014.456637,20406.579062666668,20708.068582333337
2024-09-05 00:00:00,20119.707753,20359.712193,20016.051351,20166.043051,20317.629464999995
2024-09-06 00:00:00,19537.90297,20170.207026,19497.769337,20165.157099,20314.262847
2024-09-09 00:00:00,19904.95295,19917.444875,19546.939682,19735.293111000003,19972.816885000004
2024-09-10 00:00:00,20024.290706,20070.537408,19755.581416,19789.779169,20032.618655999995
2024-09-11 00:00:00,20463.368596,20511.741584,19718.105639,19950.13651,20144.691604
2024-09-12 00:00:00,20639.318695,20713.738676,20396.390613,20231.07193966667,20744.03824033333
2024-09-13 00:00:00,20735.001528,20813.408294,20623.10577,20583.149328000003,20769.908043000007
2024-09-16 00:00:00,20645.69755,20780.716659,20517.854654,20723.838530666668,20824.571291333337
2024-09-17 00:00:00,20683.539493,20855.8476,20566.128328,20648.089621000003,20778.324588000007
2024-09-18 00:00:00,20627.329226,20908.117895,20548.792452,20701.838473666667,20837.54861933333
2024-09-19 00:00:00,21079.112678,21226.46763,20631.531863,20694.74652433333,20840.700596666666
2024-09-20 00:00:00,21029.469031,21101.439186,20866.091527,20979.03739033333,21326.54291766667
2024-09-23 00:00:00,21079.638008,21185.491921,20966.166815,20998.999914666667,21131.908302333333
2024-09-24 00:00:00,21207.818429,21238.812875,20963.802832,21077.098914666665,21188.03101433333
2024-09-25 00:00:00,21267.443338,21297.912455,21080.688667,21136.81137866667,21309.819925333337
2024-09-26 00:00:00,21376.449229,21578.438458,21210.707742,21215.348153333336,21350.007639666677
2024-09-27 00:00:00,21215.961038,21428.982189,21194.947854,21388.53180966667,21566.355877333343
2024-09-30 00:00:00,21258.25007,21314.723002,21072.020729,21279.96369366667,21364.97953333334
2024-10-01 00:00:00,20973.521429,21361.74,20821.963841,21214.997933666666,21357.975138333324
2024-10-02 00:00:00,21072.283393,21108.005806,20838.249059,21052.40842333333,21282.853005666668
2024-10-03 00:00:00,20969.318793,21132.696297,20857.686254,21006.179419333333,21174.109779666665
2024-10-04 00:00:00,21225.679635,21290.295175,20951.720251,20986.56711466667,21115.447975333336
2024-10-07 00:00:00,21031.04502,21293.972483,20958.549536,21155.898353666667,21360.076456333336
2024-10-08 00:00:00,21313.935007,21359.376017,20910.744543,21094.52234633333,21230.49515666667
2024-10-09 00:00:00,21485.192455,21520.389538,21219.113015,21194.685189,21478.625835
2024-10-10 00:00:00,21468.119243,21547.181347,21329.95756,21408.23166933333,21597.350323666666
2024-10-11 00:00:00,21447.368724,21532.472119,21343.878794,21448.41938333333,21566.88120666667
2024-10-14 00:00:00,21684.029707,21727.632063,21415.848949,21441.239879,21538.600964
2024-10-15 00:00:00,21363.315989,21705.830885,21280.051248,21609.17023966667,21802.49153033334
2024-10-16 00:00:00,21357.800028,21431.871501,21229.882272,21449.732707333333,21619.414166666666
2024-10-17 00:00:00,21416.111613,21638.063367,21303.953745,21339.851267,21449.820262000005
2024-10-18 00:00:00,21521.965527,21569.77052,21350.182749,21452.709575,21601.465405000003
2024-10-21 00:00:00,21579.226453,21595.774335,21374.347911,21480.639598666665,21611.09644833333
2024-10-22 00:00:00,21558.475934,21645.943311,21391.683787,21516.449566333333,21658.551221666665
2024-10-23 00:00:00,21301.589762,21583.166425,21096.18589,21532.034344,21672.384901
2024-10-24 00:00:00,21423.991557,21463.391277,21288.193857,21326.98069233333,21557.77549466667
2024-10-25 00:00:00,21513.297589,21756.262526,21395.623759,21391.858897,21495.523937
2024-10-28 00:00:00,21546.130688,21723.954756,21523.804181,21555.06129133333,21714.498823666672
2024-10-29 00:00:00,21757.313186,21811.947464,21467.331249,21597.96320833333,21672.122235666666
2024-10-30 00:00:00,21545.868024,21841.628586,21509.620281,21678.86396633333,21890.39668366667
2024-10-31 00:00:00,21058.362159,21534.048108,21022.114417,21632.372297,21755.124313
2024-11-01 00:00:00,21192.058541,21315.773661,21031.04502,21204.84156133333,21387.56870566667
2024-11-04 00:00:00,21133.484291,21274.272623,21026.842383,21179.625740666663,21328.20646133333
2024-11-05 00:00:00,21394.310435,21418.212932,21057.048835,21144.86643233333,21262.890481666665
2024-11-06 00:00:00,21982.416917,21995.812822,21353.072062,21289.857400666668,21522.66596633333
2024-11-07 00:00:00,22300.503987,22329.65978,21918.326707,21777.10060033333,22201.129138666663
2024-11-08 00:00:00,22302.079976,22342.26769,22191.760761,22182.830158,22447.333609
2024-11-11 00:00:00,22284.744099,22421.855124,22167.07027,22278.702809,22365.644857
2024-11-12 00:00:00,22250.86034,22328.346456,22121.366595,22291.223164333336,22415.376058666672
2024-11-13 00:00:00,22238.25243,22345.944997,22123.205249,22233.524463666665,22345.68233233333
2024-11-14 00:00:00,22044.668474,22263.730916,22011.835375,22235.800892,22348.396535
2024-11-15 00:00:00,21541.928052,22044.405809,21438.963451,22106.74492166667,22201.654468333338
2024-11-18 00:00:00,21675.624434,21774.123733,21513.297589,21675.099104,21911.234756999995
2024-11-19 00:00:00,21805.906173,21845.831222,21415.060954,21654.348585333337,21795.399581666672
2024-11-20 00:00:00,21789.358291,21899.152176,21514.348248,21688.932783,21962.804612
2024-11-21 00:00:00,21847.144546,21964.818376,21553.485303,21734.28623833333,21954.224228666662
2024-11-22 00:00:00,21936.450578,21937.763902,21741.553298,21788.482741666667,22023.48018033333
2024-11-25 00:00:00,21958.251756,22148.946399,21832.960647,21871.922592666662,22002.291887333333
2024-11-26 00:00:00,22062.529681,22089.846819,21806.431503,21980.052934000003,22127.14522100001
2024-11-27 00:00:00,21860.540451,22083.805529,21722.378768,21986.26933433333,22166.107165666668
2024-11-28 00:00:00,21948.270494,21968.758348,21861.328446,21888.908249333337,22055.43773066668
2024-11-29 00:00:00,22054.649737,22082.22954,21859.489792,21926.119096,21990.909746
2024-12-02 00:00:00,22285.532094,22336.751729,22000.803453,21998.789689666668,22138.089587333336
2024-12-03 00:00:00,22404.519247,22409.509878,22204.894001,22207.695758666665,22414.58806433333
2024-12-04 00:00:00,22607.033806,22640.129571,22385.082052,22339.641042000003,22474.388083000005
2024-12-05 00:00:00,22540.054283,22659.82943,22523.5064,22544.081809666663,22703.08156733333
2024-12-06 00:00:00,22729.960931,22766.996668,22510.110496,22574.463371,22625.420342000005
2024-12-09 00:00:00,22561.067467,22805.871058,22521.930412,22669.02269833333,22827.93490066666
2024-12-10 00:00:00,22520.617088,22701.330468,22434.463034,22629.622979000003,22737.315546000005
2024-12-11 00:00:00,22857.878688,22925.383541,22490.147971,22552.136863333333,22669.810692666662
2024-12-12 00:00:00,22726.020959,22875.477229,22698.70382,22757.8034,23025.458829000003
2024-12-13 00:00:00,22862.869319,23017.84155,22764.107355,22766.734002666664,22834.76418533333
2024-12-16 00:00:00,23231.91336,23274.727722,22864.445308,22881.606074666663,22999.10479433333
2024-12-17 00:00:00,23119.755491,23245.309264,23053.826627,23123.695463333333,23382.94561866667
2024-12-18 00:00:00,22249.547016,23202.494902,22099.828082,23139.630460666667,23225.434294333336
2024-12-19 00:00:00,22204.676025,22509.585166,22135.895137,22517.29,22934.751917999994
2024-12-20 00:00:00,22632.062615,22904.823467,21784.115019,22283.38544266667,22430.87574833334
2024-12-23 00:00:00,22826.066725,22867.545276,22552.518305,22440.333700333333,23096.552381666665
2024-12-24 00:00:00,23150.807027,23154.219819,22796.401685,22748.710102,22944.901899
2024-12-26 00:00:00,23085.438931,23218.800348,22965.728682,23033.809510333333,23271.217335666664
2024-12-27 00:00:00,22807.690152,23110.378566,22575.620283,23089.98932033333,23214.249958666667
2024-12-30 00:00:00,22459.585349,22831.842219,22317.56069,22831.229667,23086.83905099999
2024-12-31 00:00:00,22297.871504,22602.922621,22243.004307,22536.32941933333,22755.098148666664
2025-01-02 00:00:00,22243.529352,22566.957041,22034.823984,22381.266144,22519.527981
2025-01-03 00:00:00,22569.582266,22639.150722,22203.10089,22281.770125666662,22528.716267333333
2025-01-06 00:00:00,22871.483113,22993.556064,22554.09344,22470.61129266667,22738.12169533333
2025-01-07 00:00:00,22446.196703,22898.260406,22345.388072,22806.377539,23058.661637999998
2025-01-08 00:00:00,22393.692208,22522.590743,22226.465391,22563.281727000005,22781.17538200001
2025-01-09 00:00:00,22368.49005,22416.531663,22280.807543,22380.916114000003,22535.366837000005
2025-01-10 00:00:00,22049.525242,22443.046433,21920.364184,22355.276418666665,22429.74529433333
2025-01-13 00:00:00,22043.749748,22090.741271,21730.560434,22137.645286333336,22354.926388666678
2025-01-14 00:00:00,22028.260922,22202.838368,21814.042582,21955.017151,22179.473867999997
2025-01-15 00:00:00,22447.509315,22527.316148,21956.329763,22015.04729066667,22216.05199933334
2025-01-16 00:00:00,22276.869706,22647.551441,22232.76593,22310.38507533333,22664.44038766667
2025-01-17 00:00:00,22670.390897,22768.574303,22271.619256,22385.729025666664,22538.692121333326
2025-01-20 00:00:00,22769.099348,22869.645456,22604.760278,22570.19481866667,22868.77038133334
2025-01-21 00:00:00,22863.082394,22874.633383,22448.559405,22747.83502733333,22890.909776666667
2025-01-22 00:00:00,23086.226498,23200.161252,22858.619512,22728.758394,23008.957383
2025-01-23 00:00:00,23124.817302,23155.007387,22950.239856,23048.335754,23238.051996
2025-01-24 00:00:00,23005.107053,23184.147381,22938.163822,23076.68818166667,23203.136507333336
2025-01-27 00:00:00,22371.64032,22861.507259,21803.804205,23042.472752,23146.781682000004
2025-01-28 00:00:00,22638.363155,22709.244223,22219.377284,22345.65059466667,22887.49698433334
2025-01-29 00:00:00,22652.801891,22783.800606,22437.270939,22522.328220666663,22825.27915733333
2025-01-30 00:00:00,22691.130172,22838.142759,22492.400658,22624.624478666665,22811.978018333328
2025-01-31 00:00:00,22651.489279,23066.27479,22612.37343,22673.89119633333,22855.38173466667
2025-02-03 00:00:00,22632.850183,22660.677565,21992.03282,22776.712499666668,22941.051569333336
2025-02-04 00:00:00,22664.615402,22780.650337,22306.534746,22428.52018933333,22865.007558666664
2025-02-05 00:00:00,22860.982214,22886.709417,22503.16408,22583.933495,22861.332244
2025-02-06 00:00:00,22939.476434,22978.329761,22792.988893,22750.285237,22997.406394
2025-02-07 00:00:00,22655.952161,23068.37497,22632.325138,22903.598362666668,23014.207832333333
2025-02-10 00:00:00,22930.813193,22990.668317,22490.825524,22785.550756333338,22938.776374666675
2025-02-11 00:00:00,22884.084192,22967.041294,22754.923134,22804.102344666662,23117.37916533333
2025-02-12 00:00:00,22956.802918,22957.590485,22588.221362,22868.68287333333,22982.44261266667
2025-02-13 00:00:00,23180.734589,23232.188994,22842.605641,22834.204921666667,23080.18848133333
2025-02-14 00:00:00,23315.671142,23338.248075,23146.606667,23085.176408,23327.747175
2025-02-17 00:00:00,23349.011496,23397.840677,23304.120153,23266.84196133333,23387.07725566667
2025-02-18 00:00:00,23337.460507,23437.744093,23209.874584,23350.324108666664,23396.528064333328
2025-02-19 00:00:00,23335.360327,23416.742295,23225.888455,23328.359728,23446.844872
2025-02-20 00:00:00,23244.527551,23349.274019,23050.523441,23325.997025666667,23426.10559633333
